Resource ID,nation-tradition,settler_territory,author,title,link,format,rec_type,rec_summary,publ_lang,indigenous_author,year
1,Mi'kmaq,"Nova Scotia, Cape Breton","Lillian Marshall, Murdena Marshall, Prune Harris and Cheryl Bartlett",Muin aqq L’uiknek te’sijik Ntuksuinu’k / Muin and the Seven Bird Hunters,http://cbup.ca/books/marshall-marshall-muin-bird-hunters/,Text,Book,"Mi'kmaq legend ""Muin and the Seven Bird Hunters"" depicting how the stars and sky are used as time keepers. Drawings of the night sky in different positions according to seasons. Made in collaboration by Mi'kmaq elders from Cape Breton","Mi'kmaq, English",Y,2010
2,Mi'kmaq,"Nova Scotia, Cape Breton",Mi'kmaw Moons,Muin and the Seven Bird Hunters,"https://www.youtube.com/watch?v=3GBycod3qC0, https://www.youtube.com/watch?v=Y-Pi3QnCHOo, https://www.youtube.com/watch?v=TN6vbMOXf4w",Visual,Video,The story of Muin and the Seven Bird Hunters in an audiovisual format. A paper on the creation of this source can be found here http://www.integrativescience.ca/uploads/articles/2010-CAPJournal-Mikmaq-Night-Sky-Stories-Harris-Bartlett-Marshall-aboriginal-astronomy-science.pdf ,"Mi'kmaq, English, French",Y,"2009, 2020"
3,Mi'kmaq,"Nova Scotia, Maritime","David Chapman, Cathy LeBlanc",In Search of the 13th Mi'kmaq Moon,https://www.dropbox.com/s/u24d8bj2c4esq4t/JRASC201702ChapmanLeBlanc_small.pdf?dl=0&fbclid=IwAR1h4mTjF7Yh0VGusJUobZx27Udu_DaGEaxq9zL7F5skuT0z71bO4qHC0OE,Text,Paper,"A look at the Mi'kmaq moon cycles and a discussion on the 13th 'missing' moon, as well as how the moon was used as a calendar",English,Y,2017
4,"Wabanaki, Passamaquoddy, Maliseet, Penobscot, Mi'kmaq","Maine, Maritime","Abbe Museum, Smithsonian ",Youth Capture the Colorful Cosmos II: Star Stories of the Dawnland,https://static1.squarespace.com/static/56a8c7b05a5668f743c485b2/t/5a732b2c652deac3c3981890/1517497145287/Exhibit+Text+Final_WEB+VERSION.pdf,Text,Paper,"A overview of a project, including a collection of photos of the night sky taken by Indigenous youth as well as a collection of stories from various maritime Indigenous nations about the sky and stars. Youth also included their own creative stories under photographs.",English,Y,Unknown
5,Mi'kmaq,"Nova Scotia, Maritime","Prune Harris, Murdena Marshall, Cheryl Bartlett, Albert Marshall","Mi’kmaq Night Sky Stories, Patterns of Interconnectiveness, Vitality and Nourishment",http://www.integrativescience.ca/uploads/articles/2010-CAPJournal-Mikmaq-Night-Sky-Stories-Harris-Bartlett-Marshall-aboriginal-astronomy-science.pdf,Text,Paper,"An integrative science perspective between Indigenous and Western sciences, particularly with the sky story of Muin and the Seven Hunters",English,Y,2010
6,Mi'kmaq,Maritime,Native Languages,Rabbit and the Moon Man,http://www.native-languages.org/mikmaqstory3.htm,Text,Traditional Story,A story of why the moon has craters,English,Y,Unknown
7,"Mi'kmaq, Blackfoot",Maritime,Astro Canada,The Amerindian Sky,https://astro-canada.ca/le_ciel_des_amerindiens-the_amerindian_sky-eng,Text,Traditional Story,No summary provided.,"English, French",U,Unknown
8,"Gwich'in, Dene","Yukon, Arctic",The Legendary Sky Project,Dictionary,https://www.legendarysky.ca/dictionary/,Text,Dictionary,Words relating to astronomy and their translations in various Indigenous languages,"Gwich'in, Dene",Y,Unknown
9,Gwich'in,Yukon,"Claudio Aporta, Ingrid Kritsch, Alestine Andre, Kristi Benson, Sharon Snowshoe, William Firth, Del Carry","The gwich'in atlas: Place names, maps, and narratives",https://www.researchgate.net/publication/292916751_The_gwich'in_atlas_Place_names_maps_and_narratives,Text,Article,"Abstract: ""The full dimensions of Indigenous place names cannot be captured by any representational technique outside of the original context of use. Many limitations presented by traditional cartography, however, have been overcome by new mapping and documenting techniques and technologies. While traditional paper maps could only render geographic location and spelling of an orally transmitted place name, new technologies allow for the recording and presentation of the stories and other information connected to the name. The Cybercartographic approach goes a step further, creating a digital environment for data integration. The Gwich'in Cybercartographic Atlas can be understood as a framework within which the user is able to build his/her own narrative through the seamless use and connection of different datasets. This paper discusses the potential and limitations of this approach in the documenting of oral spatial and environmental narratives""",English,Y,2014
10,"Gwich'in, Babylonian",Yukon,"Wayne Horowitz, Alestine Andre, Ingrid Kritsch",The Gwich’in Boy in the Moon and Babylonian Astronomy,http://aa.uwpress.org/content/55/1/91.short,Text,Article,"Abstract: ""The Gwich’in narrative of “The Boy in the Moon” tells the story of how the face of the Moon came to be seen as it is today in the skies over the Gwich’in homeland in the Canadian Arctic and Alaska. This article uses the methodology of “comparative ethnoastronomy” to explore the story of “The Boy in the Moon” and its place in Gwich’in culture to inform on a Babylonian tradition of a Lion Man in the Moon. The study makes use of a wide variety of documentary evidence ranging in time from millenniaold cuneiform tablets from Babylonia to modern works on the anthropology of the Gwich’in and interviews with tribal elders, and it concludes with some thoughts on the shared human experience of looking at the sky.""",English,Y,2018
